============================================================
  PCN MNIST Baseline
============================================================

  Architecture : [784, 512, 512, 10]
  Epochs       : 25
  Batch size   : 512
  eta_x        : 0.1
  eta_w        : 0.005
  Inf. steps   : 40

Loading MNIST...
  Train: (60000, 784)  Test: (10000, 784)

 Epoch     Train E   Train Acc    Test Acc   Time(s)
--------------------------------------------------------
     0     55.3489      57.27%      57.51%     461.0s
     1     35.0516      70.15%          -     384.8s
     2     29.5208      75.26%          -     385.4s
     3     26.2650      77.85%          -     381.6s
     4     24.0017      79.48%      80.54%     458.7s
     5     22.2769      80.58%          -     393.9s
     6     20.8946      81.49%          -     381.9s
     7     19.7402      82.12%          -     381.9s
     8     18.7628      82.59%          -     387.6s
     9     17.9060      82.96%      84.05%     450.5s
    10     17.1538      83.29%          -     384.0s
    11     16.4967      83.50%          -     384.3s
    12     15.9066      83.77%          -     383.8s
    13     15.3868      83.93%          -     383.3s
    14     14.9152      84.06%      85.02%     439.4s
    15     14.4745      84.21%          -     381.4s
    16     14.0859      84.33%          -     381.7s
    17     13.7232      84.41%          -     382.3s
    18     13.3827      84.45%          -     381.4s
    19     13.0727      84.46%      85.43%     439.0s
    20     12.7752      84.49%          -     381.6s
    21     12.5043      84.54%          -     381.5s
    22     12.2523      84.52%          -     381.1s
    23     12.0068      84.50%          -     381.2s
    24     11.7818      84.55%      85.52%     438.2s

============================================================
  Final Train Accuracy : 84.55%
  Final Test  Accuracy : 85.52%
============================================================

  [PASS] Reasonable MNIST accuracy — ready for Split-MNIST.
